Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
i cannot find the default font after changing it to use another font,PROD-102,10105,Bug,To Do,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 12:41,08-09-2021 19:53,08-09-2021 19:53,,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jf:,,PROD Sprint 1,,,,,,,,To Do
verify that clicking on the help option provides the shortcuts for some operations,PROD-101,10104,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 12:35,08-09-2021 19:47,09-09-2021 04:55,08-09-2021 19:47,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000lj:,,PROD Sprint 1,,,,,,,,Done
verify that clicking on the code view show the written content in code version,PROD-100,10103,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 12:34,08-09-2021 19:47,09-09-2021 04:55,08-09-2021 19:47,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000lb:,,PROD Sprint 1,,,,,,,,Done
verify that clicking on the full screen makes the field screen bigger for clear view,PROD-99,10102,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 12:32,08-09-2021 19:47,09-09-2021 04:55,08-09-2021 19:47,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000l3:,,PROD Sprint 1,,,,,,,,Done
"verify that clicking on the video, helps admin to upload the url of the video",PROD-98,10101,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 12:30,08-09-2021 19:47,09-09-2021 04:55,08-09-2021 19:47,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000kv:,,PROD Sprint 1,,,,,,,,Done
verify that clicking on the picture option provide admin to upload picture of the product,PROD-97,10100,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 12:29,08-09-2021 19:47,09-09-2021 04:55,08-09-2021 19:47,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000kb:,,PROD Sprint 1,,,,,,,,Done
verify that clicking on the link option gives admin a field to provide the link for the product,PROD-96,10099,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 12:27,08-09-2021 19:47,09-09-2021 04:55,08-09-2021 19:47,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000kf:,,PROD Sprint 1,,,,,,,,Done
verify that clicking on the table generate customized tables (rows and columns) on the description field,PROD-95,10098,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 12:26,08-09-2021 19:47,09-09-2021 04:55,08-09-2021 19:47,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000k7:,,PROD Sprint 1,,,,,,,,Done
verify that clicking on the paragraph option shows different types of paragraph styles to modify the selected content,PROD-94,10097,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 12:23,08-09-2021 19:48,09-09-2021 04:55,08-09-2021 19:48,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jz:,,PROD Sprint 1,,,,,,,,Done
verify that clicking on the unordered list option modifies the  the selected content and using the key ctrl+shift+num7 also performs the action,PROD-93,10096,Test,Done,PROD,Products,software,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,Medium,Done,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,17-465 Meghana,612ef9ccae44ae0070b4ff3c,08-09-2021 12:21,08-09-2021 19:48,09-09-2021 04:55,08-09-2021 19:48,,0,,,17-465 Meghana,612ef9ccae44ae0070b4ff3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jr:,,PROD Sprint 1,,,,,,,,Done
